2theta,I
124.5085995085995, 0.1029627262811117
124.53808353808354, 0.08924538072520138
124.56265356265357, 0.10696224149138933
124.56756756756756, 0.09346525490023261
124.59705159705159, 0.10216943400799883
124.62653562653563, 0.11087361311576571
124.64127764127764, 0.12867861746785536
124.66093366093367, 0.11056511056511065
124.67567567567568, 0.1283701149172003
124.7051597051597, 0.1191370742940252
124.71007371007371, 0.14599883209748676
124.74447174447174, 0.14120602461409626
124.75921375921376, 0.17246394376439222
124.77395577395578, 0.15439450865459836
124.8034398034398, 0.1720672976278359
124.81326781326781, 0.1944006787056114
124.84275184275184, 0.18965194301517152
124.85749385749385, 0.21194125229999683
124.87714987714988, 0.2386707947246065
124.9017199017199, 0.22948182589438204
124.92628992628993, 0.2471986866605702
124.92137592137593, 0.2696642831171978
124.93120393120392, 0.3009662740604446
124.93120393120392, 0.3009662740604446
124.94594594594595, 0.34119280307621125
124.95577395577395, 0.3052302200284265
124.98034398034397, 0.3319156906600853
124.98525798525799, 0.34980883859807643
124.99017199017199, 0.3766705964015382
125.01474201474201, 0.37645023743678463
125.01965601965603, 0.4033119952402464
125.03439803439804, 0.42111699959233606
125.05405405405405, 0.4343936272187394
125.05405405405405, 0.4523308469496812
125.07371007371007, 0.4745760844415553
125.06879606879606, 0.5149789006291249
125.07862407862407, 0.550765196505107
125.0982800982801, 0.5640418241315103
125.10810810810811, 0.5908595101420215
125.13267813267814, 0.613060675840945
125.11302211302211, 0.6311741827436895
125.13759213759214, 0.6533753484426131
125.14742014742015, 0.6936459492513305
125.15724815724816, 0.7204636352618417
125.17690417690417, 0.7113187382245679
125.17199017199017, 0.7427529445466665
125.19164619164619, 0.7336080475093929
125.1965601965602, 0.711142451052765
125.21130221130221, 0.7244631504721191
125.23095823095824, 0.7467083879639934
125.23095823095824, 0.7332554731657872
125.25552825552825, 0.7285508092682982
125.25552825552825, 0.706129284604621
125.28501228501229, 0.7103491587796521
125.27518427518427, 0.7373431319619662
125.2948402948403, 0.7326825398574278
125.3046683046683, 0.7460473110697327
125.31449631449631, 0.7683806921475083
125.32432432432432, 0.7951983781580195
125.32923832923832, 0.8130915260960104
125.33415233415234, 0.8444375888322078
125.35380835380835, 0.866682826324082
125.36363636363636, 0.8800475975363868
125.38329238329239, 0.9022928350282611
125.40786240786241, 0.8886195612653012
125.41769041769042, 0.8661098930157227
125.43734643734643, 0.8973237403730678
125.44226044226045, 0.8658895340509691
125.47174447174447, 0.8432035786295877
125.48157248157248, 0.798272385716332
125.48648648648648, 0.7668381793942332
125.51105651105651, 0.7935236500258922
125.51105651105651, 0.7666178204294796
125.52579852579852, 0.7350954705214796
125.54545454545455, 0.7707936228115602
125.55036855036855, 0.7483280263549322
125.56511056511056, 0.7392272011106092
125.57002457002457, 0.7033086898557751
125.57493857493857, 0.6539372638027346
125.58968058968058, 0.6762265730875597
125.60933660933661, 0.6760502859157568
125.60933660933661, 0.6536287612520796
125.62407862407862, 0.6221064113440795
125.64864864864865, 0.6263703573120614
125.64373464373465, 0.6578045636341601
125.66339066339066, 0.675565496193299
125.66830466830467, 0.6575842046694065
125.68304668304668, 0.6260618547614063
125.6928746928747, 0.6394266259737112
125.71744471744472, 0.6526591818071639
125.72235872235872, 0.6301935853505362
125.73710073710073, 0.6121241502407422
125.73710073710073, 0.5762497107788588
125.75184275184274, 0.5940547151309483
125.77149877149877, 0.5849098180936747
125.78132678132678, 0.5399786251804191
125.78624078624078, 0.4681856744637014
125.78624078624078, 0.49509150406011404
125.8108108108108, 0.490386840162625
125.81572481572482, 0.44549971904232
125.82555282555282, 0.4050528310617997
125.84520884520884, 0.4228137636209385
125.85503685503686, 0.3868511805731536
125.86486486486487, 0.37779442712178146
125.87469287469287, 0.3597690638049382
125.8943488943489, 0.37752999636407714
125.90417690417691, 0.359504633047234
125.91891891891892, 0.3234979782064984
125.91891891891892, 0.28313923381187966
125.93366093366093, 0.30542854309670453
125.94348894348894, 0.2874031797798615
125.95331695331696, 0.32318947565584333
125.96314496314496, 0.29619550247352966
125.98280098280098, 0.2735976906380493
125.997542997543, 0.3003713048556098
126.007371007371, 0.2733773316732957
126.04176904176904, 0.27306882912264063
126.05159705159706, 0.2864336003349457
126.07125307125307, 0.29971022796134905
126.07616707616708, 0.2862132413701921
126.0909090909091, 0.27262811119313346
126.11547911547912, 0.2948292768920573
126.13022113022113, 0.27227553684952777
126.15479115479116, 0.2496336532210972
126.17936117936118, 0.23147607452540186
126.19901719901719, 0.24923700708454066
126.2088452088452, 0.2132744240367559
126.23832923832924, 0.2309472130099932
126.25307125307125, 0.18148764337105128
126.27764127764128, 0.19472019920450423
126.29729729729729, 0.16763808243628864
126.31695331695332, 0.18539901499542766
126.33660933660934, 0.1762541179581536
126.35626535626535, 0.15814061105540933
126.37592137592138, 0.17141723868181247
126.39557739557739, 0.15778803671180341
126.4054054054054, 0.13079406352948952
